id,name,score1,score2
308,Student_308,78,76
309,Student_309,51,76
310,Student_310,67,89
311,Student_311,75,83
312,Student_312,91,95
313,Student_313,98,60
314,Student_314,76,59
315,Student_315,52,94
316,Student_316,54,80
317,Student_317,52,52
318,Student_318,59,69
319,Student_319,53,61
320,Student_320,94,95
321,Student_321,84,93
322,Student_322,58,70
323,Student_323,83,77
324,Student_324,57,91
325,Student_325,58,100
326,Student_326,63,66
327,Student_327,50,64
328,Student_328,80,86
329,Student_329,61,54
330,Student_330,77,99
331,Student_331,80,72
332,Student_332,94,71
333,Student_333,93,81
334,Student_334,73,90
335,Student_335,86,90
336,Student_336,88,79
337,Student_337,67,80
338,Student_338,80,71
339,Student_339,85,68
340,Student_340,75,60
341,Student_341,62,62
342,Student_342,51,81
343,Student_343,93,76
344,Student_344,77,84
345,Student_345,94,60
346,Student_346,77,62
347,Student_347,89,67
348,Student_348,100,56
349,Student_349,50,89
350,Student_350,83,96
351,Student_351,69,62
352,Student_352,99,63
353,Student_353,95,54
354,Student_354,51,63
355,Student_355,86,60
356,Student_356,99,63
357,Student_357,97,67
358,Student_358,86,75
359,Student_359,84,73
360,Student_360,90,55
361,Student_361,56,72
362,Student_362,83,53
363,Student_363,78,74
364,Student_364,80,85
365,Student_365,80,77
366,Student_366,54,92
367,Student_367,76,59
368,Student_368,77,52
369,Student_369,76,65
370,Student_370,63,62
371,Student_371,75,100
372,Student_372,52,71
373,Student_373,59,53
374,Student_374,67,60
375,Student_375,95,99
376,Student_376,64,63
377,Student_377,53,95
378,Student_378,56,82
379,Student_379,78,81
380,Student_380,71,76
381,Student_381,69,70
382,Student_382,89,96
383,Student_383,90,75
384,Student_384,55,77
385,Student_385,55,69
386,Student_386,65,98
387,Student_387,59,63
388,Student_388,77,96
389,Student_389,75,60
390,Student_390,62,51
391,Student_391,94,79
392,Student_392,70,50
393,Student_393,72,79
394,Student_394,85,100
395,Student_395,83,76
396,Student_396,51,71
397,Student_397,96,69
398,Student_398,97,63
399,Student_399,86,83
400,Student_400,65,76
401,Student_401,69,68
402,Student_402,97,52
403,Student_403,95,67
404,Student_404,94,95
405,Student_405,85,87
406,Student_406,95,55
407,Student_407,73,92
408,Student_408,74,68
409,Student_409,78,98
410,Student_410,95,62
411,Student_411,51,79
412,Student_412,95,98
413,Student_413,97,82
414,Student_414,64,51
415,Student_415,71,86
416,Student_416,55,71
417,Student_417,97,73
418,Student_418,65,59
419,Student_419,78,97
420,Student_420,67,83
421,Student_421,82,85
422,Student_422,93,82
423,Student_423,71,56
424,Student_424,92,99
425,Student_425,65,60
426,Student_426,60,62
427,Student_427,83,54
428,Student_428,63,75
429,Student_429,51,68
430,Student_430,73,65
431,Student_431,97,72
432,Student_432,88,75
433,Student_433,57,86
434,Student_434,50,70
435,Student_435,99,71
436,Student_436,90,98
437,Student_437,51,90
438,Student_438,89,54
439,Student_439,60,55
440,Student_440,95,52
441,Student_441,80,100
442,Student_442,92,72
443,Student_443,96,100
444,Student_444,68,55
445,Student_445,90,90
446,Student_446,95,59
447,Student_447,72,57
448,Student_448,88,73
449,Student_449,54,52
450,Student_450,96,61
451,Student_451,100,54
452,Student_452,73,57
453,Student_453,71,92
454,Student_454,63,88
455,Student_455,70,61
456,Student_456,51,65
457,Student_457,52,94
458,Student_458,71,90
459,Student_459,50,60
460,Student_460,95,83
461,Student_461,76,70
462,Student_462,50,55
463,Student_463,86,88
464,Student_464,55,57
465,Student_465,81,75
466,Student_466,83,96
467,Student_467,72,99
468,Student_468,65,72
469,Student_469,61,62
470,Student_470,58,97
471,Student_471,85,54
472,Student_472,94,97
473,Student_473,57,70
474,Student_474,97,100
475,Student_475,78,83
476,Student_476,56,100
477,Student_477,64,66
478,Student_478,54,67
479,Student_479,68,56
480,Student_480,100,92
481,Student_481,84,73
482,Student_482,79,63
483,Student_483,68,75
484,Student_484,100,92
485,Student_485,56,67
486,Student_486,58,56
487,Student_487,62,51
488,Student_488,85,95
489,Student_489,61,77
490,Student_490,74,57
491,Student_491,71,86
492,Student_492,73,71
493,Student_493,68,95
494,Student_494,90,87
495,Student_495,91,92
496,Student_496,77,81
497,Student_497,85,66
498,Student_498,84,73
499,Student_499,83,73
500,Student_500,55,84
501,Student_501,67,78
502,Student_502,95,86
503,Student_503,50,98
504,Student_504,51,63
505,Student_505,98,57
506,Student_506,84,54
507,Student_507,81,54
508,Student_508,96,65
509,Student_509,59,91
510,Student_510,71,64
511,Student_511,79,76
512,Student_512,54,99
513,Student_513,60,58
514,Student_514,69,57
515,Student_515,69,73
516,Student_516,83,77
517,Student_517,73,61
518,Student_518,66,68
519,Student_519,74,97
520,Student_520,73,90
521,Student_521,70,86
522,Student_522,57,73
523,Student_523,68,93
524,Student_524,96,80
525,Student_525,82,70
526,Student_526,74,98
527,Student_527,83,52
528,Student_528,85,50
529,Student_529,55,66
530,Student_530,85,96
531,Student_531,50,86
532,Student_532,69,66
533,Student_533,62,85
534,Student_534,56,90
535,Student_535,71,64
536,Student_536,91,57
537,Student_537,94,64
538,Student_538,75,57
539,Student_539,84,50
540,Student_540,55,66
541,Student_541,68,52
542,Student_542,59,71
543,Student_543,73,63
544,Student_544,64,69
545,Student_545,58,62
546,Student_546,64,100
547,Student_547,97,89
548,Student_548,50,80
549,Student_549,76,51
550,Student_550,86,96
551,Student_551,99,78
552,Student_552,51,50
553,Student_553,88,100
554,Student_554,59,71
555,Student_555,58,72
556,Student_556,54,91
557,Student_557,84,86
558,Student_558,54,67
559,Student_559,55,52
560,Student_560,73,95
561,Student_561,81,95
562,Student_562,93,95
563,Student_563,64,93
564,Student_564,76,53
565,Student_565,62,67
566,Student_566,95,52
567,Student_567,69,91
568,Student_568,94,50
569,Student_569,54,99
570,Student_570,97,53
571,Student_571,52,59
572,Student_572,61,55
573,Student_573,83,98
574,Student_574,56,84
575,Student_575,81,81
576,Student_576,70,67
577,Student_577,60,92
578,Student_578,98,68
579,Student_579,50,97
580,Student_580,66,58
581,Student_581,96,87
582,Student_582,69,97
583,Student_583,100,77
584,Student_584,99,52
585,Student_585,77,73
586,Student_586,55,97
587,Student_587,69,72
588,Student_588,59,73
589,Student_589,87,81
590,Student_590,68,64
591,Student_591,60,73
592,Student_592,69,100
593,Student_593,83,83
594,Student_594,93,69
595,Student_595,73,70
596,Student_596,98,65
597,Student_597,95,65
598,Student_598,66,91
599,Student_599,61,67
600,Student_600,54,77
601,Student_601,82,70
602,Student_602,51,96
603,Student_603,50,89
604,Student_604,89,52
605,Student_605,94,61
606,Student_606,50,61
607,Student_607,78,57
608,Student_608,77,84
609,Student_609,92,68
610,Student_610,100,93
611,Student_611,56,97
612,Student_612,52,81
613,Student_613,97,52
614,Student_614,56,73
615,Student_615,81,58
616,Student_616,81,62
617,Student_617,93,81
618,Student_618,78,51
619,Student_619,74,98
620,Student_620,85,99
621,Student_621,68,52
622,Student_622,96,91
623,Student_623,97,64
624,Student_624,98,90
625,Student_625,100,55
626,Student_626,86,62
627,Student_627,91,57
628,Student_628,58,56
629,Student_629,92,87
630,Student_630,66,81
631,Student_631,83,63
632,Student_632,85,85
633,Student_633,50,76
634,Student_634,52,83
635,Student_635,99,55
636,Student_636,50,77
637,Student_637,66,67
638,Student_638,79,84
639,Student_639,93,94
640,Student_640,80,54
641,Student_641,96,83
642,Student_642,90,69
643,Student_643,65,50
644,Student_644,57,68
645,Student_645,92,75
646,Student_646,98,85
647,Student_647,78,96
648,Student_648,91,71
649,Student_649,61,76
650,Student_650,85,71
651,Student_651,80,95
652,Student_652,95,76
653,Student_653,66,57
654,Student_654,79,82
655,Student_655,52,98
656,Student_656,84,77
657,Student_657,82,99
658,Student_658,79,68
659,Student_659,93,84
660,Student_660,85,66
661,Student_661,83,57
662,Student_662,86,52
663,Student_663,54,76
664,Student_664,59,51
665,Student_665,59,73
666,Student_666,91,71
667,Student_667,72,100
668,Student_668,92,67
669,Student_669,62,65
670,Student_670,55,57
671,Student_671,80,78
672,Student_672,65,73
673,Student_673,67,51
674,Student_674,59,77
675,Student_675,64,57
676,Student_676,61,94
677,Student_677,66,63
678,Student_678,65,56
679,Student_679,69,73
680,Student_680,57,65
681,Student_681,54,92
682,Student_682,76,91
683,Student_683,56,87
684,Student_684,87,89
685,Student_685,63,92
686,Student_686,72,88
687,Student_687,94,76
688,Student_688,79,87
689,Student_689,56,77
690,Student_690,66,57
691,Student_691,75,81
692,Student_692,59,97
693,Student_693,70,89
694,Student_694,53,86
695,Student_695,70,97
696,Student_696,55,66
697,Student_697,52,51
698,Student_698,92,68
699,Student_699,68,91
700,Student_700,55,50
701,Student_701,80,63
702,Student_702,68,84
703,Student_703,55,53
704,Student_704,52,70
705,Student_705,75,73
706,Student_706,56,91
707,Student_707,88,79
708,Student_708,61,51
709,Student_709,98,59
710,Student_710,95,50
711,Student_711,75,72
712,Student_712,66,66
713,Student_713,55,80
714,Student_714,90,53
715,Student_715,97,95
716,Student_716,64,53
717,Student_717,78,99
718,Student_718,59,88
719,Student_719,53,54
720,Student_720,55,61
721,Student_721,76,79
722,Student_722,84,72
723,Student_723,99,92
724,Student_724,60,95
725,Student_725,96,75
726,Student_726,66,55
727,Student_727,94,58
728,Student_728,58,61
729,Student_729,81,53
730,Student_730,67,50
731,Student_731,94,98
732,Student_732,89,78
733,Student_733,100,73
734,Student_734,55,84
735,Student_735,89,81
736,Student_736,63,94
737,Student_737,56,61
738,Student_738,53,87
739,Student_739,68,98
740,Student_740,67,96
741,Student_741,91,75
742,Student_742,82,83
743,Student_743,54,85
744,Student_744,79,76
745,Student_745,59,94
746,Student_746,98,68
747,Student_747,70,61
748,Student_748,86,65
749,Student_749,51,62
750,Student_750,90,95
751,Student_751,74,54
752,Student_752,80,83
753,Student_753,95,90
754,Student_754,53,59
755,Student_755,66,56
756,Student_756,88,66
757,Student_757,96,100
758,Student_758,96,57
759,Student_759,100,88
760,Student_760,68,80
761,Student_761,85,54
762,Student_762,73,80
763,Student_763,62,93
764,Student_764,82,64
765,Student_765,93,96
766,Student_766,56,96
767,Student_767,74,97
768,Student_768,91,73
769,Student_769,100,62
770,Student_770,51,91
771,Student_771,72,63
772,Student_772,62,63
773,Student_773,53,89
774,Student_774,67,98
775,Student_775,63,72
776,Student_776,90,97
777,Student_777,76,90
778,Student_778,73,80
779,Student_779,61,68
780,Student_780,61,66
781,Student_781,70,50
782,Student_782,62,77
783,Student_783,75,77
784,Student_784,91,68
785,Student_785,93,98
786,Student_786,97,98
787,Student_787,67,52
788,Student_788,71,80
789,Student_789,60,52
790,Student_790,63,70
791,Student_791,94,53
792,Student_792,62,97
793,Student_793,83,50
794,Student_794,69,66
795,Student_795,62,84
796,Student_796,56,76
797,Student_797,79,86
798,Student_798,54,99
799,Student_799,68,53
800,Student_800,51,66
801,Student_801,58,93
802,Student_802,50,79
803,Student_803,57,91
804,Student_804,82,52
805,Student_805,88,76
806,Student_806,90,53
807,Student_807,86,62
808,Student_808,91,91
809,Student_809,87,71
810,Student_810,74,65
811,Student_811,95,59
812,Student_812,70,86
813,Student_813,63,87
814,Student_814,69,86
815,Student_815,95,74
816,Student_816,54,87
817,Student_817,86,88
818,Student_818,52,50
819,Student_819,75,86
820,Student_820,66,94
821,Student_821,70,55
822,Student_822,61,87
823,Student_823,88,53
824,Student_824,75,53
825,Student_825,91,89
826,Student_826,94,80
827,Student_827,81,69
828,Student_828,67,76
829,Student_829,86,93
830,Student_830,64,78
831,Student_831,63,92
832,Student_832,51,82
833,Student_833,63,94
834,Student_834,73,81
835,Student_835,90,86
836,Student_836,54,79
837,Student_837,68,74
838,Student_838,76,78
839,Student_839,76,79
840,Student_840,50,87
841,Student_841,97,86
842,Student_842,87,68
843,Student_843,98,81
844,Student_844,51,68
845,Student_845,60,63
846,Student_846,81,65
847,Student_847,53,53
848,Student_848,70,62
849,Student_849,75,57
850,Student_850,64,89
851,Student_851,51,84
852,Student_852,63,95
853,Student_853,61,68
854,Student_854,96,90
855,Student_855,61,89
856,Student_856,71,78
857,Student_857,99,67
858,Student_858,78,65
859,Student_859,78,79
860,Student_860,69,82
861,Student_861,65,50
862,Student_862,60,94
863,Student_863,54,68
864,Student_864,70,54
865,Student_865,91,56
866,Student_866,91,78
867,Student_867,83,63
868,Student_868,50,80
869,Student_869,67,85
870,Student_870,75,83
871,Student_871,84,62
872,Student_872,88,50
873,Student_873,97,52
874,Student_874,88,53
875,Student_875,53,60
876,Student_876,50,97
877,Student_877,66,56
878,Student_878,86,75
879,Student_879,63,78
880,Student_880,70,100
881,Student_881,91,74
882,Student_882,57,53
883,Student_883,97,70
884,Student_884,99,79
885,Student_885,59,51
886,Student_886,98,93
887,Student_887,55,68
888,Student_888,95,64
889,Student_889,89,77
890,Student_890,75,89
891,Student_891,51,57
892,Student_892,63,56
893,Student_893,94,71
894,Student_894,55,84
895,Student_895,70,57
896,Student_896,81,76
897,Student_897,89,72
898,Student_898,70,75
899,Student_899,91,97
900,Student_900,86,52
901,Student_901,96,87
902,Student_902,70,86
903,Student_903,52,79
904,Student_904,85,86
905,Student_905,77,79
906,Student_906,96,98
907,Student_907,91,80
908,Student_908,75,80
909,Student_909,54,93
910,Student_910,88,84
911,Student_911,91,90
912,Student_912,88,55
913,Student_913,95,60
914,Student_914,55,86
915,Student_915,58,73
916,Student_916,66,55
917,Student_917,79,86
918,Student_918,76,99
919,Student_919,91,86
920,Student_920,85,57
921,Student_921,73,59
922,Student_922,92,80
923,Student_923,56,68
924,Student_924,69,96
925,Student_925,87,98
926,Student_926,81,65
927,Student_927,86,59
928,Student_928,61,70
929,Student_929,61,99
930,Student_930,100,64
931,Student_931,57,83
932,Student_932,60,96
933,Student_933,66,59
934,Student_934,72,60
935,Student_935,84,76
936,Student_936,52,54
937,Student_937,99,76
938,Student_938,53,68
939,Student_939,91,94
940,Student_940,60,98
941,Student_941,66,72
942,Student_942,86,52
943,Student_943,86,83
944,Student_944,54,94
945,Student_945,68,80
946,Student_946,56,81
947,Student_947,100,96
948,Student_948,97,92
949,Student_949,95,61
950,Student_950,93,100
951,Student_951,76,84
952,Student_952,53,59
953,Student_953,52,63
954,Student_954,99,72
955,Student_955,87,88
956,Student_956,95,69
957,Student_957,68,56
958,Student_958,67,81
959,Student_959,88,88
960,Student_960,100,61
961,Student_961,75,69
962,Student_962,87,51
963,Student_963,54,74
964,Student_964,68,98
965,Student_965,56,88
966,Student_966,71,76
967,Student_967,59,64
968,Student_968,58,73
969,Student_969,63,77
970,Student_970,96,58
971,Student_971,100,83
972,Student_972,65,90
973,Student_973,99,63
974,Student_974,61,81
975,Student_975,82,72
976,Student_976,70,64
977,Student_977,58,96
978,Student_978,67,68
979,Student_979,53,60
980,Student_980,74,81
981,Student_981,55,99
982,Student_982,98,66
983,Student_983,55,88
984,Student_984,94,86
985,Student_985,100,63
986,Student_986,73,63
987,Student_987,76,66
988,Student_988,64,65
989,Student_989,92,66
990,Student_990,85,96
991,Student_991,72,95
992,Student_992,66,93
993,Student_993,66,57
994,Student_994,86,66
995,Student_995,99,69
996,Student_996,100,65
997,Student_997,74,53
998,Student_998,63,69
999,Student_999,90,54
1000,Student_1000,96,66
1001,Student_1001,86,83
1002,Student_1002,77,94
1003,Student_1003,80,96
1004,Student_1004,92,56
1005,Student_1005,77,62
1006,Student_1006,99,94
1007,Student_1007,98,89
1008,Student_1008,89,69
1009,Student_1009,56,97
1010,Student_1010,72,67
1011,Student_1011,97,64
1012,Student_1012,99,50
1013,Student_1013,91,76
1014,Student_1014,54,78
1015,Student_1015,61,98
1016,Student_1016,90,93
1017,Student_1017,65,59
1018,Student_1018,89,99
1019,Student_1019,67,64
1020,Student_1020,64,75
1021,Student_1021,84,70
1022,Student_1022,87,57
1023,Student_1023,66,67
1024,Student_1024,79,74
1025,Student_1025,93,74
1026,Student_1026,55,74
1027,Student_1027,90,61
1028,Student_1028,86,59
1029,Student_1029,64,61
1030,Student_1030,58,77
1031,Student_1031,93,52
1032,Student_1032,85,82
1033,Student_1033,80,94
1034,Student_1034,90,72
1035,Student_1035,83,70
1036,Student_1036,67,54
1037,Student_1037,93,75
1038,Student_1038,67,78
1039,Student_1039,92,50
1040,Student_1040,93,91
1041,Student_1041,55,74
1042,Student_1042,86,67
1043,Student_1043,94,75
1044,Student_1044,81,90
1045,Student_1045,53,50
1046,Student_1046,88,64
1047,Student_1047,69,96
1048,Student_1048,80,88
1049,Student_1049,63,52
1050,Student_1050,59,72
1051,Student_1051,72,88
1052,Student_1052,53,51
1053,Student_1053,86,54
1054,Student_1054,90,89
1055,Student_1055,99,75
1056,Student_1056,74,74
1057,Student_1057,68,100
1058,Student_1058,80,93
1059,Student_1059,53,66
1060,Student_1060,83,76
1061,Student_1061,81,50
1062,Student_1062,79,82
1063,Student_1063,99,74
1064,Student_1064,86,55
1065,Student_1065,81,82
1066,Student_1066,94,55
1067,Student_1067,93,86
1068,Student_1068,97,59
1069,Student_1069,60,70
1070,Student_1070,92,50
1071,Student_1071,70,62
1072,Student_1072,71,86
1073,Student_1073,85,73
1074,Student_1074,53,88
1075,Student_1075,99,66
1076,Student_1076,56,71
1077,Student_1077,71,64
1078,Student_1078,75,50
1079,Student_1079,97,95
1080,Student_1080,98,96
1081,Student_1081,94,99
1082,Student_1082,72,52
1083,Student_1083,89,89
1084,Student_1084,79,96
1085,Student_1085,60,84
1086,Student_1086,85,78
1087,Student_1087,59,83
1088,Student_1088,81,84
1089,Student_1089,70,91
1090,Student_1090,98,100
1091,Student_1091,62,63
1092,Student_1092,92,59
1093,Student_1093,80,59
1094,Student_1094,93,79
1095,Student_1095,81,89
1096,Student_1096,57,89
1097,Student_1097,63,84
1098,Student_1098,71,59
1099,Student_1099,74,70
1100,Student_1100,53,74
1101,Student_1101,54,76
1102,Student_1102,56,63
1103,Student_1103,77,65
1104,Student_1104,86,56
1105,Student_1105,63,99
1106,Student_1106,76,85
1107,Student_1107,60,79
1108,Student_1108,53,95
1109,Student_1109,51,86
1110,Student_1110,73,82
1111,Student_1111,94,90
1112,Student_1112,64,99
1113,Student_1113,85,63
1114,Student_1114,79,57
1115,Student_1115,98,73
1116,Student_1116,89,90
1117,Student_1117,70,93
1118,Student_1118,97,95
1119,Student_1119,82,78
1120,Student_1120,86,66
1121,Student_1121,53,62
1122,Student_1122,58,72
1123,Student_1123,50,95
1124,Student_1124,97,71
1125,Student_1125,92,50
1126,Student_1126,71,84
1127,Student_1127,96,51
1128,Student_1128,61,63
1129,Student_1129,95,88
1130,Student_1130,95,98
1131,Student_1131,50,59
1132,Student_1132,66,80
1133,Student_1133,56,51
1134,Student_1134,96,62
1135,Student_1135,95,63
1136,Student_1136,80,83
1137,Student_1137,60,75
1138,Student_1138,78,51
1139,Student_1139,89,53
1140,Student_1140,92,94
1141,Student_1141,65,66
1142,Student_1142,71,60
1143,Student_1143,56,77
1144,Student_1144,66,93
1145,Student_1145,81,75
1146,Student_1146,60,98
1147,Student_1147,71,74
1148,Student_1148,77,76
1149,Student_1149,65,74
1150,Student_1150,99,80
1151,Student_1151,55,92
1152,Student_1152,59,62
1153,Student_1153,93,64
1154,Student_1154,74,89
1155,Student_1155,93,57
1156,Student_1156,53,88
1157,Student_1157,74,72
1158,Student_1158,82,58
1159,Student_1159,80,91
1160,Student_1160,83,77
1161,Student_1161,80,95
1162,Student_1162,98,93
1163,Student_1163,69,68
1164,Student_1164,97,57
1165,Student_1165,67,80
1166,Student_1166,56,89
1167,Student_1167,78,82
1168,Student_1168,90,62
1169,Student_1169,87,73
1170,Student_1170,57,88
1171,Student_1171,58,50
1172,Student_1172,95,85
1173,Student_1173,78,84
1174,Student_1174,97,86
1175,Student_1175,84,79
1176,Student_1176,85,77
1177,Student_1177,99,56
1178,Student_1178,82,50
1179,Student_1179,75,56
1180,Student_1180,79,83
1181,Student_1181,62,97
1182,Student_1182,75,86
1183,Student_1183,98,66
1184,Student_1184,67,65
1185,Student_1185,97,62
1186,Student_1186,60,65
1187,Student_1187,54,99
1188,Student_1188,85,50
1189,Student_1189,62,56
1190,Student_1190,84,55
1191,Student_1191,93,88
1192,Student_1192,92,93
1193,Student_1193,84,57
1194,Student_1194,93,53
1195,Student_1195,56,72
1196,Student_1196,60,76
1197,Student_1197,97,91
1198,Student_1198,99,72
1199,Student_1199,78,96
1200,Student_1200,51,82
1201,Student_1201,50,95
1202,Student_1202,91,64
1203,Student_1203,58,77
1204,Student_1204,86,86
1205,Student_1205,50,84
1206,Student_1206,98,58
1207,Student_1207,63,55
1208,Student_1208,65,71
1209,Student_1209,92,99
1210,Student_1210,93,87
1211,Student_1211,72,91
1212,Student_1212,87,74
1213,Student_1213,86,89
1214,Student_1214,83,84
1215,Student_1215,60,97
1216,Student_1216,75,91
1217,Student_1217,74,76
1218,Student_1218,89,64
1219,Student_1219,88,54
1220,Student_1220,97,88
1221,Student_1221,71,54
1222,Student_1222,98,70
1223,Student_1223,60,74
1224,Student_1224,97,58
1225,Student_1225,96,93
1226,Student_1226,70,83
1227,Student_1227,62,50
1228,Student_1228,96,81
1229,Student_1229,71,97
